Algeria,183.415
Djibouti,1.267
Egypt,231.890
Libya,71.336
Mauritania,3.995
Morocco,101.767
Oman,66.848
Sudan,63.329
Tunisia,48.932
Angola,99.325
Benin,7.498
Botswana,16.390
Burkina Faso,10.072
Burundi,1.662
Cameroon,25.834
Cape Verde,1.943
Central African Republic,2.292
Chad,9.642
Comoros,0.580
Democratic Republic of the Congo,15.306
Republic of the Congo,15.080
Cote d'Ivoire,23.800
Equatorial Guinea,19.418
Eritrea,2.596
Ethiopia,30.501
Gabon,16.675
Gambia,1.110
Ghana,38.592
Guinea,4.638
Guinea-Bissau,0.986
Kenya,36.102
Lesotho,2.690
Liberia,1.154
Madagascar,9.359
Malawi,5.662
Mali,10.983
Mauritius,10.982
Mozambique,12.141
Namibia,13.015
Niger,6.450
Nigeria,247.128
Rwanda,5.971
Sao Tome and Principe,0.233
Senegal,14.730
Seychelles,0.993
Sierra Leone,2.084
South Africa,422.037
Swaziland,3.917
Tanzania,23.197
Togo,3.647
Uganda,15.958
Zambia,18.408
Zimbabwe,9.242
